Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,4.850000,4.850000,4.680000,4.730000,4.730000,49143200
2020-09-02,4.750000,4.820000,4.700000,4.780000,4.780000,31895600
2020-09-03,4.710000,4.710000,4.470000,4.530000,4.530000,63168200
2020-09-04,4.520000,4.540000,4.360000,4.480000,4.480000,45584000
2020-09-08,4.200000,4.250000,4.100000,4.100000,4.100000,67144100
2020-09-09,4.190000,4.220000,4.130000,4.140000,4.140000,47162700
2020-09-10,4.190000,4.200000,4.080000,4.100000,4.100000,35018300
2020-09-11,4.130000,4.150000,4.060000,4.100000,4.100000,27316100
2020-09-14,4.140000,4.150000,4.070000,4.090000,4.090000,21318000
2020-09-15,4.200000,4.200000,4.130000,4.160000,4.160000,24076200
2020-09-16,4.180000,4.180000,4.110000,4.130000,4.130000,30873400
2020-09-17,4.080000,4.150000,4.070000,4.140000,4.140000,28414600
2020-09-18,4.100000,4.140000,4.040000,4.090000,4.090000,20339400
2020-09-21,3.950000,3.970000,3.880000,3.960000,3.960000,29189500
2020-09-22,3.960000,3.990000,3.900000,3.980000,3.980000,15175300
2020-09-23,3.970000,3.980000,3.870000,3.880000,3.880000,19322600
2020-09-24,3.850000,3.880000,3.810000,3.840000,3.840000,19266900
2020-09-25,3.780000,3.790000,3.720000,3.780000,3.780000,32637600
2020-09-28,3.850000,3.940000,3.830000,3.900000,3.900000,28025500
2020-09-29,3.960000,4.040000,3.930000,3.950000,3.950000,25047400
2020-09-30,3.950000,3.980000,3.900000,3.910000,3.910000,24780800
2020-10-01,3.910000,3.920000,3.840000,3.870000,3.870000,17028000
2020-10-02,3.800000,3.860000,3.800000,3.820000,3.820000,19307700
2020-10-05,3.950000,3.960000,3.880000,3.930000,3.930000,15811400
2020-10-06,3.980000,4.000000,3.870000,3.910000,3.910000,23824300
2020-10-07,3.900000,3.920000,3.860000,3.900000,3.900000,15216500
2020-10-08,3.900000,3.980000,3.890000,3.950000,3.950000,19386200
2020-10-09,4.070000,4.130000,4.020000,4.030000,4.030000,35552900
2020-10-12,4.050000,4.060000,4.010000,4.030000,4.030000,18341200
2020-10-13,4.070000,4.080000,4.010000,4.040000,4.040000,19771400
2020-10-14,4.050000,4.100000,4.030000,4.080000,4.080000,20957600
2020-10-15,3.990000,4.040000,3.980000,4.040000,4.040000,15456600
2020-10-16,4.040000,4.070000,4.020000,4.030000,4.030000,13355000
2020-10-19,4.130000,4.230000,4.120000,4.180000,4.180000,36642500
2020-10-20,4.280000,4.280000,4.170000,4.200000,4.200000,39536900
2020-10-21,4.270000,4.340000,4.220000,4.280000,4.280000,43146600
2020-10-22,4.300000,4.300000,4.190000,4.270000,4.270000,33773200
2020-10-23,4.250000,4.310000,4.220000,4.300000,4.300000,15898800
2020-10-26,4.300000,4.310000,4.180000,4.230000,4.230000,34590500
2020-10-27,4.210000,4.280000,4.210000,4.240000,4.240000,24062200
2020-10-28,4.050000,4.090000,4.000000,4.050000,4.050000,47238600
2020-10-29,3.440000,3.450000,3.210000,3.350000,3.350000,149133000
2020-10-30,3.380000,3.390000,3.320000,3.370000,3.370000,65867800
2020-11-02,3.380000,3.380000,3.230000,3.270000,3.270000,41682300
2020-11-03,3.310000,3.470000,3.300000,3.390000,3.390000,52419300
2020-11-04,3.410000,3.470000,3.360000,3.400000,3.400000,38149500
2020-11-05,3.510000,3.610000,3.500000,3.540000,3.540000,43167600
2020-11-06,3.510000,3.550000,3.460000,3.520000,3.520000,29258000
2020-11-09,3.780000,3.790000,3.620000,3.650000,3.650000,49820900
2020-11-10,3.740000,3.760000,3.670000,3.670000,3.670000,37387900
2020-11-11,3.680000,3.780000,3.660000,3.750000,3.750000,40456000
2020-11-12,3.750000,3.820000,3.720000,3.750000,3.750000,46774600
2020-11-13,3.740000,3.860000,3.740000,3.810000,3.810000,46253800
2020-11-16,3.870000,3.930000,3.840000,3.900000,3.900000,37591800
2020-11-17,3.870000,3.950000,3.850000,3.930000,3.930000,27364100
2020-11-18,3.940000,3.980000,3.930000,3.940000,3.940000,28103600
2020-11-19,3.860000,3.910000,3.840000,3.890000,3.890000,30776700
2020-11-20,3.900000,3.970000,3.890000,3.950000,3.950000,29367100
2020-11-23,3.930000,3.980000,3.920000,3.970000,3.970000,32393600
2020-11-24,4.030000,4.120000,4.010000,4.070000,4.070000,25386800
2020-11-25,4.090000,4.140000,4.080000,4.130000,4.130000,16995800
2020-11-27,4.120000,4.140000,4.110000,4.130000,4.130000,8288300
2020-11-30,4.080000,4.110000,4.020000,4.030000,4.030000,20845200
2020-12-01,4.060000,4.090000,4.050000,4.060000,4.060000,20161200
2020-12-02,3.990000,4.060000,3.970000,4.060000,4.060000,23692300
2020-12-03,4.030000,4.060000,4.010000,4.020000,4.020000,18883600
2020-12-04,4.020000,4.030000,3.990000,4.030000,4.030000,19651500
2020-12-07,4.040000,4.100000,4.030000,4.060000,4.060000,21546500
2020-12-08,4.100000,4.230000,4.100000,4.220000,4.220000,35820000
2020-12-09,4.240000,4.280000,4.180000,4.190000,4.190000,31808800
2020-12-10,4.130000,4.220000,4.120000,4.200000,4.200000,27951000
2020-12-11,4.070000,4.100000,4.000000,4.060000,4.060000,34215600
2020-12-14,4.050000,4.070000,3.980000,4.000000,4.000000,21093200
2020-12-15,4.060000,4.120000,4.030000,4.100000,4.100000,18725600
2020-12-16,4.010000,4.030000,3.980000,3.990000,3.990000,19877700
2020-12-17,4.090000,4.090000,4.020000,4.060000,4.060000,26082200
2020-12-18,4.040000,4.060000,3.980000,4.000000,4.000000,20259700
2020-12-21,3.870000,3.920000,3.830000,3.900000,3.900000,26116600
2020-12-22,3.870000,3.900000,3.840000,3.880000,3.880000,25157100
2020-12-23,3.850000,3.920000,3.850000,3.880000,3.880000,27033500
2020-12-24,3.900000,3.920000,3.890000,3.890000,3.890000,7298800
2020-12-28,3.900000,3.940000,3.890000,3.900000,3.900000,18694700
2020-12-29,3.950000,3.980000,3.930000,3.930000,3.930000,19875400
2020-12-30,3.940000,3.960000,3.880000,3.890000,3.890000,17464600
2020-12-31,3.880000,3.930000,3.870000,3.910000,3.910000,17088900
2021-01-04,3.990000,3.990000,3.850000,3.890000,3.890000,30281400
2021-01-05,3.990000,4.060000,3.950000,4.040000,4.040000,38446200
2021-01-06,4.010000,4.090000,4.010000,4.040000,4.040000,37467400
2021-01-07,4.010000,4.030000,3.970000,3.990000,3.990000,25318000
2021-01-08,3.940000,3.960000,3.900000,3.930000,3.930000,23978700
2021-01-11,3.840000,3.940000,3.830000,3.870000,3.870000,37045200
2021-01-12,3.940000,4.020000,3.930000,4.010000,4.010000,26065000
2021-01-13,3.910000,3.980000,3.910000,3.980000,3.980000,33763400
2021-01-14,4.120000,4.250000,4.070000,4.090000,4.090000,93198600
2021-01-15,4.090000,4.140000,4.040000,4.080000,4.080000,36639300
2021-01-19,4.070000,4.190000,4.030000,4.130000,4.130000,40539400
2021-01-20,4.150000,4.230000,4.150000,4.200000,4.200000,43924100
2021-01-21,4.180000,4.230000,4.160000,4.220000,4.220000,22026300
2021-01-22,4.190000,4.220000,4.140000,4.200000,4.200000,29126700
2021-01-25,4.540000,4.920000,4.530000,4.850000,4.850000,296379300
2021-01-26,5.080000,5.270000,4.610000,4.730000,4.730000,379387300
2021-01-27,4.990000,9.790000,4.870000,6.550000,6.550000,1123003300
2021-01-28,5.180000,5.530000,4.590000,4.690000,4.690000,675220900
2021-01-29,5.130000,5.220000,4.530000,4.560000,4.560000,362323300
2021-02-01,4.970000,4.990000,4.660000,4.890000,4.890000,194969200
2021-02-02,4.740000,4.760000,4.400000,4.530000,4.530000,165679700
2021-02-03,4.630000,4.760000,4.520000,4.700000,4.700000,95964300
2021-02-04,4.490000,4.560000,4.300000,4.370000,4.370000,151036400
2021-02-05,4.330000,4.330000,4.200000,4.220000,4.220000,107577200
2021-02-08,4.280000,4.350000,4.210000,4.260000,4.260000,79270400
2021-02-09,4.260000,4.270000,4.170000,4.190000,4.190000,83593900
2021-02-10,4.210000,4.220000,4.100000,4.170000,4.170000,79240200
2021-02-11,4.160000,4.170000,4.070000,4.100000,4.100000,63166100
2021-02-12,4.110000,4.220000,4.070000,4.170000,4.170000,50557400
2021-02-16,4.170000,4.200000,4.100000,4.130000,4.130000,42745500
2021-02-17,4.100000,4.120000,4.050000,4.110000,4.110000,50251800
2021-02-18,4.070000,4.140000,4.050000,4.120000,4.120000,43669200
2021-02-19,4.130000,4.140000,4.060000,4.070000,4.070000,28413700
2021-02-22,4.020000,4.040000,3.960000,3.960000,3.960000,56342100
2021-02-23,3.930000,3.970000,3.830000,3.950000,3.950000,68365800
2021-02-24,3.940000,4.120000,3.910000,4.040000,4.040000,77998700
2021-02-25,4.250000,4.340000,4.010000,4.050000,4.050000,121260400
2021-02-26,4.010000,4.040000,3.910000,3.920000,3.920000,69186700
